timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671017951530,15038,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,20,20,https://jsonplaceholder.typicode.com/posts/1,0,0,15037
1671017955240,15016,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,20,20,https://jsonplaceholder.typicode.com/posts/1,0,0,15016
1671017956052,15034,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,20,20,https://jsonplaceholder.typicode.com/posts/1,0,0,15034
1671017971478,15047,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15047
1671017971672,15036,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15036
1671017973726,15018,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15018
1671017973817,15019,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15018
1671017974098,15015,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15015
1671017974703,15028,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15028
1671017976795,15034,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15034
1671017978325,15045,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15044
1671017978376,15056,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15056
1671017978401,15031,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15031
1671017982796,15073,GET data,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: javax.net.ssl.SSLHandshakeException]]]

****** comparison: [[[200                                                        ]]]

/",3125,0,40,40,https://jsonplaceholder.typicode.com/posts/1,0,0,15073
